A429CalcBitLength|A429CalcBitLength(); - General
A429CheckParity|A429CheckParity(); - A429
A429GetBitLength|A429GetBitLength(); - A429
A429GetConfiguration|A429GetConfiguration(); - General
A429GetErrorPosition|A429GetErrorPosition(); - A429
A429InitPayload|A429InitPayload(); - A429
A429OnA429Error|A429OnA429Error(); - A429
A429OnA429Word|A429OnA429Word(); - General
A429OnA429WordError|A429OnA429WordError(); - General
A429ResetEx|A429ResetEx(); - General
A429SetConfiguration|A429SetConfiguration(); - General
A429SetGap|A429SetGap(); - General
A429SetParity|A429SetParity(); - General
A429SetScheduleTx|A429SetScheduleTx(); - General
A429StopTx|A429StopTx(); - General
A429Transmit|A429Transmit(); - General
A429output|A429output(); - General
A664CloseProxyPort|A664CloseProxyPort(); - General
A664GetFunctionalStatus|A664GetFunctionalStatus(); - General
A664InitICMP|A664InitICMP(); - General
A664InitMessage|A664InitMessage(); - General
A664InitPayload|A664InitPayload(); - General
A664InitProxyPort|A664InitProxyPort(); - General
A664MsgConfig|A664MsgConfig(); - General
A664ResizeMessage|A664ResizeMessage(); - General
A664SetChecksum|A664SetChecksum(); - General
A664SetFunctionalStatus|A664SetFunctionalStatus(); - General
A664SetStringSignal|A664SetStringSignal(); - General
A664TriggerFrame|A664TriggerFrame(); - General
A664TriggerMessage|A664TriggerMessage(); - General
A664VLConfig|A664VLConfig(); - General
A664isICMP|A664isICMP(); - General
ABSActive|ABSActive(); - User defined
ABS_active_recently|ABS_active_recently; - User variable
ABSregulation_interval|ABSregulation_interval; - User variable
ACLTimer|ACLTimer; - User variable
ADASActivateFMU|ADASActivateFMU(); - General
ADASSetOutputData|ADASSetOutputData(); - ADAS
AFDXOnA664Frame|AFDXOnA664Frame(); - General
AFDXOnA664Message|AFDXOnA664Message(); - General
API_CloseUDPCommunication|API_CloseUDPCommunication(); - User defined
API_ConvertToDeg|API_ConvertToDeg(); - User defined
API_GetBasicSafetyMessageParams|API_GetBasicSafetyMessageParams(); - User defined
API_GetCAMParams|API_GetCAMParams(); - User defined
API_GetCLPMMParams|API_GetCLPMMParams(); - User defined
API_GetCPMParams|API_GetCPMParams(); - User defined
API_GetCommonSafetyRequestParams|API_GetCommonSafetyRequestParams(); - User defined
API_GetCooperativeControlMessageParams|API_GetCooperativeControlMessageParams(); - User defined
API_GetDENMParams|API_GetDENMParams(); - User defined
API_GetEmergencyVehicleAlertParams|API_GetEmergencyVehicleAlertParams(); - User defined
API_GetHeading|API_GetHeading(); - User defined
API_GetIVIMParams|API_GetIVIMParams(); - User defined
API_GetIntersectionCollisionParams|API_GetIntersectionCollisionParams(); - User defined
API_GetMAPParams|API_GetMAPParams(); - User defined
API_GetMIMParams|API_GetMIMParams(); - User defined
API_GetMVMParams|API_GetMVMParams(); - User defined
API_GetManeuverSharingAndCoordinatingMessageParams|API_GetManeuverSharingAndCoordinatingMessageParams(); - User defined
API_GetMapDataParams|API_GetMapDataParams(); - User defined
API_GetNMEA_CorrectionsParams|API_GetNMEA_CorrectionsParams(); - User defined
API_GetNMEAcorrectionsParams|API_GetNMEAcorrectionsParams(); - User defined
API_GetPAMParams|API_GetPAMParams(); - User defined
API_GetPSMParams|API_GetPSMParams(); - User defined
API_GetPersonalSafetyMessageParams|API_GetPersonalSafetyMessageParams(); - User defined
API_GetProbeDataManagementParams|API_GetProbeDataManagementParams(); - User defined
API_GetProbeVehicleDataParams|API_GetProbeVehicleDataParams(); - User defined
API_GetRSCParams|API_GetRSCParams(); - User defined
