A429CalcBitLength|A429CalcBitLength(); - A429 function
A429CheckParity|A429CheckParity(); - A429 function
A429GetBitLength|A429GetBitLength(); - A429 function
A429GetConfiguration|A429GetConfiguration(); - A429 function
A429GetErrorPosition|A429GetErrorPosition(); - A429 function
A429InitPayload|A429InitPayload(); - A429 function
A429OnA429Error|A429OnA429Error(); - A429 function
A429OnA429Word|A429OnA429Word(); - A429 function
A429OnA429WordError|A429OnA429WordError(); - A429 function
A429ResetEx|A429ResetEx(); - A429 function
A429SetConfiguration|A429SetConfiguration(); - A429 function
A429SetGap|A429SetGap(); - A429 function
A429SetParity|A429SetParity(); - A429 function
A429SetScheduleTx|A429SetScheduleTx(); - A429 function
A429StopTx|A429StopTx(); - A429 function
A429Transmit|A429Transmit(); - A429 function
A429output|A429output(); - A429 function
A664CloseProxyPort|A664CloseProxyPort(); - AFDX function
A664GetFunctionalStatus|A664GetFunctionalStatus(); - AFDX function
A664InitICMP|A664InitICMP(); - AFDX function
A664InitMessage|A664InitMessage(); - AFDX function
A664InitPayload|A664InitPayload(); - AFDX function
A664InitProxyPort|A664InitProxyPort(); - AFDX function
A664MsgConfig|A664MsgConfig(); - AFDX function
A664ResizeMessage|A664ResizeMessage(); - AFDX function
A664SetChecksum|A664SetChecksum(); - AFDX function
A664SetFunctionalStatus|A664SetFunctionalStatus(); - AFDX function
A664SetStringSignal|A664SetStringSignal(); - AFDX function
A664TriggerFrame|A664TriggerFrame(); - AFDX function
A664TriggerMessage|A664TriggerMessage(); - AFDX function
A664VLConfig|A664VLConfig(); - AFDX function
A664isICMP|A664isICMP(); - AFDX function
ABSActive|ABSActive(); - User defined function
ABS_active_recently|ABS_active_recently; - User defined variable
ABSregulation_interval|ABSregulation_interval; - User defined variable
ACLTimer|ACLTimer; - User defined variable
ADASActivateFMU|ADASActivateFMU(); - ADAS function
ADASSetOutputData|ADASSetOutputData(); - ADAS function
AFDXOnA664Frame|AFDXOnA664Frame(); - AFDX function
AFDXOnA664Message|AFDXOnA664Message(); - AFDX function
API_CloseUDPCommunication|API_CloseUDPCommunication(); - User defined function
API_ConvertToDeg|API_ConvertToDeg(); - User defined function
API_GetBasicSafetyMessageParams|API_GetBasicSafetyMessageParams(); - User defined function
API_GetCAMParams|API_GetCAMParams(); - User defined function
API_GetCLPMMParams|API_GetCLPMMParams(); - User defined function
API_GetCPMParams|API_GetCPMParams(); - User defined function
API_GetCommonSafetyRequestParams|API_GetCommonSafetyRequestParams(); - User defined function
API_GetCooperativeControlMessageParams|API_GetCooperativeControlMessageParams(); - User defined function
API_GetDENMParams|API_GetDENMParams(); - User defined function
API_GetEmergencyVehicleAlertParams|API_GetEmergencyVehicleAlertParams(); - User defined function
API_GetHeading|API_GetHeading(); - User defined function
API_GetIVIMParams|API_GetIVIMParams(); - User defined function
API_GetIntersectionCollisionParams|API_GetIntersectionCollisionParams(); - User defined function
API_GetMAPParams|API_GetMAPParams(); - User defined function
API_GetMIMParams|API_GetMIMParams(); - User defined function
API_GetMVMParams|API_GetMVMParams(); - User defined function
API_GetManeuverSharingAndCoordinatingMessageParams|API_GetManeuverSharingAndCoordinatingMessageParams(); - User defined function
API_GetMapDataParams|API_GetMapDataParams(); - User defined function
API_GetNMEA_CorrectionsParams|API_GetNMEA_CorrectionsParams(); - User defined function
API_GetNMEAcorrectionsParams|API_GetNMEAcorrectionsParams(); - User defined function
API_GetPAMParams|API_GetPAMParams(); - User defined function
API_GetPSMParams|API_GetPSMParams(); - User defined function
API_GetPersonalSafetyMessageParams|API_GetPersonalSafetyMessageParams(); - User defined function
API_GetProbeDataManagementParams|API_GetProbeDataManagementParams(); - User defined function
API_GetProbeVehicleDataParams|API_GetProbeVehicleDataParams(); - User defined function
API_GetRSCParams|API_GetRSCParams(); - User defined function
API_GetRTCMParams|API_GetRTCMParams(); - User defined function
API_GetRTCM_CorrectionsParams|API_GetRTCM_CorrectionsParams(); - User defined function
API_GetRTCMcorrectionsParams|API_GetRTCMcorrectionsParams(); - User defined function
API_GetRoadSafetyMessageParams|API_GetRoadSafetyMessageParams(); - User defined function
API_GetRoadSideAlertParams|API_GetRoadSideAlertParams(); - User defined function
API_GetRoadSideInformationParams|API_GetRoadSideInformationParams(); - User defined function
API_GetRoadUserChargingConfigMessageParams|API_GetRoadUserChargingConfigMessageParams(); - User defined function
API_GetRoadUserChargingReportMessageParams|API_GetRoadUserChargingReportMessageParams(); - User defined function
